City,CO,PM10,SO2,PM2.5,O3,NO2
Grand Prairie,250.34,4.32,1.36,3.26,87.26,10.54
Chattanooga,243.66,10.71,0.28,6.37,52.21,7.28
Ontario,343.8,69.22,15.14,59.48,334.74,10.97
Newton,357.15,9.04,4.65,6.91,31.83,37.01
Frederick,240.33,11.65,0.68,7.2,95.84,8.05
Visalia,270.37,18.1,0.92,14.99,161.65,4.41
Clarksville,317.1,12.11,0.59,8.07,67.95,12.17
Saint George,198.6,7.78,1.01,2.92,46.49,1.27
Davie,250.34,4.73,2.09,2.44,38.98,12.17
Medford,273.71,5.34,1.74,4.39,35.76,19.36
North Richland Hills,226.97,6.26,1.8,5.19,120.16,5.31
Skokie,257.02,20.4,1.34,18.73,135.9,9.25
Missouri City,247.0,4.12,3.16,2.65,55.79,12.51
Miramar,250.34,3.81,2.03,1.85,35.41,11.65
West Jordan,216.96,10.59,2.35,3.93,89.41,16.28
Evansville,243.66,24.84,4.77,19.59,114.44,5.66
The Woodlands,208.62,3.52,0.5,2.88,75.82,3.81
Town 'n' Country,260.35,2.95,0.59,2.14,47.21,12.85
Rochester Hills,303.75,15.15,0.79,13.57,73.67,5.91
Longmont,201.94,6.16,0.31,3.01,68.67,3.09
Suffolk,166.89,9.64,0.22,3.06,60.08,1.59
Colorado Springs,195.27,1.2,0.02,0.86,35.41,0.57
Lewisville,250.34,7.4,1.45,6.24,127.32,9.77
Portsmouth,160.22,2.18,2.65,1.46,77.96,3.73
Santa Maria,317.1,18.97,0.33,17.95,64.37,2.51
Mount Pleasant,201.94,5.37,5.54,2.72,87.98,3.81
Saint Petersburg,193.6,1.37,9.18,0.75,24.68,12.17
Schaumburg,297.07,20.57,2.74,18.04,120.16,18.51
Manteca,494.0,43.77,3.82,39.36,240.33,5.83
Spokane Valley,183.58,2.5,0.25,2.34,103.0,3.77
Aurora,203.61,11.57,1.39,7.87,107.29,3.81
Rockville,420.57,17.41,3.49,11.23,78.68,41.13
Roswell,203.61,9.94,0.58,4.38,95.84,3.64
Knoxville,393.87,13.96,1.04,10.43,42.56,28.79
San Marcos,193.6,2.94,0.93,2.31,71.53,1.91
Vallejo,211.95,15.03,1.06,11.16,97.28,3.73
San Francisco,165.22,13.36,1.28,7.95,85.83,1.63
Mesquite,236.99,3.34,0.57,2.33,72.96,8.91
Alhambra,370.5,50.74,13.71,39.53,228.88,36.33
Victoria,206.95,6.89,1.85,5.55,87.98,4.67
Trenton,240.33,15.31,4.65,8.59,127.32,11.82
Sunrise,250.34,4.73,2.09,2.44,38.98,12.17
Odessa,161.89,3.48,0.2,3.16,42.92,1.32
Pharr,196.93,6.16,0.44,2.34,40.77,2.44
Davenport,250.34,10.05,1.58,7.28,82.97,7.8
Glendale,267.03,26.52,7.39,18.57,178.81,16.11
San Juan,158.55,1.37,0.15,0.52,42.2,0.21
Everett,206.95,10.45,2.12,8.15,100.14,5.91
Milpitas,277.04,18.65,2.95,12.57,98.71,20.39
McAllen,181.91,4.42,0.07,2.08,44.35,1.33
High Point,191.93,9.09,0.32,3.84,82.97,3.98
Youngs,198.6,9.59,0.21,4.01,75.82,4.84
Elgin,223.64,14.24,2.27,10.32,115.87,5.83
Passaic,337.12,29.85,4.95,23.72,125.89,16.79
Lawrence,213.62,1.89,0.58,1.57,69.38,1.61
East Orange,383.85,25.41,11.21,15.57,78.68,50.04
Alameda,226.97,13.53,2.38,8.36,75.82,13.37
Arlington Heights,290.39,21.17,2.21,19.35,130.18,17.48
Oklahoma City,223.64,3.76,0.78,3.28,92.98,3.9
Des Moines,220.3,4.05,0.41,3.68,80.82,2.57
South Gate,257.02,15.72,3.99,8.91,97.28,16.62
San Ramon,156.88,2.69,0.02,1.28,41.49,2.68
Bend,166.89,3.64,0.11,2.87,113.01,0.65
West Valley City,216.96,10.59,2.35,3.93,89.41,16.28
Mobile,203.61,6.61,0.69,2.48,85.83,3.81
League City,200.27,6.13,1.89,2.95,55.08,6.08
Killeen,173.57,1.12,0.15,0.79,69.38,1.19
Arvada,233.65,7.16,0.73,3.63,70.1,9.43
Folsom,400.54,34.0,3.1,29.61,228.88,6.94
Flower Mound,243.66,8.91,1.34,7.77,144.48,6.43
Alafaya,260.35,4.03,3.31,2.96,43.99,13.88
Avondale,195.27,14.71,0.15,4.96,88.69,1.54
Fayetteville,196.93,6.73,0.35,3.76,83.69,2.57
Boca Raton,236.99,3.83,1.31,1.72,53.64,5.14
Richardson,280.38,5.58,2.09,4.33,92.98,18.51
Aurora,203.61,11.57,1.39,7.87,107.29,3.81
Beaverton,161.89,4.34,0.22,3.19,97.28,1.01
Stamford,353.81,34.17,2.89,32.16,103.0,9.94
Jackson,240.33,7.67,0.57,3.71,68.67,7.28
Bellevue,213.62,8.63,3.01,7.39,100.14,9.85
Gresham,183.58,6.06,1.16,4.93,110.15,5.06
Hollywood,267.03,26.52,7.39,18.57,178.81,16.11
Palmdale,247.0,33.12,4.71,28.16,257.49,3.94
Riverside,277.04,38.58,10.37,29.43,294.69,10.63
Toledo,153.54,1.93,0.02,1.47,31.83,2.91
Akron,307.08,15.39,2.06,14.06,92.98,13.54
Gaithersburg,420.57,17.41,3.49,11.23,78.68,41.13
Roseville,440.6,35.95,3.4,31.91,226.02,6.26
South San Francisco,165.22,13.36,1.28,7.95,85.83,1.63
Deltona,243.66,3.07,0.55,2.24,43.27,7.97
Kansas City,250.34,3.51,1.94,2.87,79.39,9.25
Surprise,191.93,14.63,0.15,4.82,90.84,1.13
Charleston,230.31,4.37,0.78,2.12,37.19,2.4
Bloomington,201.94,13.14,1.28,9.4,65.09,3.77
Little Rock,257.02,5.83,1.31,3.87,76.53,11.31
Newport News,178.58,9.74,0.89,3.15,65.8,3.98
Temecula,200.27,20.01,1.48,11.6,137.33,3.64
Greenville,233.65,10.04,0.43,5.01,90.12,6.0
Santa Fe,210.29,0.82,0.05,0.5,27.54,1.63
Baton Rouge,220.3,4.49,3.04,3.52,76.53,5.44
Raleigh,647.54,49.56,0.86,43.4,223.16,12.68
Montgomery,253.68,9.51,2.71,4.17,87.26,10.11
Meridian,190.26,7.39,1.06,3.17,62.23,3.3
The Villages,213.62,0.81,0.04,0.69,28.61,3.47
Cape Coral,223.64,3.97,0.3,2.38,57.94,5.74
Delray Beach,233.65,3.13,0.95,1.55,55.79,4.2
Citrus Heights,440.6,35.95,3.4,31.91,226.02,6.26
Chula Vista,193.6,16.99,1.7,8.17,80.82,6.77
Bridgeport,440.6,43.01,2.53,40.18,73.67,24.33
Tracy,323.77,31.49,3.19,26.3,200.27,4.8
Plantation,250.34,4.73,2.09,2.44,38.98,12.17
Orem,186.92,8.28,0.63,2.95,88.69,4.58
Lexington-Fayette  county,243.66,20.55,0.84,15.39,61.51,11.14
Miami,226.97,2.96,0.74,1.07,38.98,3.9
Edmond,216.96,3.3,0.54,2.87,92.98,2.87
Fort Lauderdale,243.66,4.42,1.61,1.85,44.7,8.05
Rancho Cordova,534.06,44.32,4.53,40.04,228.88,8.31
Layton,178.58,15.23,0.72,5.84,103.0,7.28
Warner Robins,198.6,6.29,1.76,2.3,87.98,4.54
Lafayette,216.96,3.79,0.45,3.38,66.52,4.07
Brownsville,193.6,7.37,1.13,2.47,42.2,2.51
Allen,250.34,5.4,0.81,4.28,92.98,10.45
Yakima,163.56,4.56,0.05,4.17,107.29,0.74
Wichita Falls,191.93,2.65,0.14,2.18,95.84,1.46
Flagstaff,188.59,10.85,0.17,3.39,67.23,0.58
Lee's Summit,226.97,3.14,2.68,2.5,80.11,3.38
Carrollton,260.35,5.85,1.83,4.68,108.72,14.4
Lafayette,216.96,3.79,0.45,3.38,66.52,4.07
Menifee,213.62,18.04,2.21,12.91,183.11,3.43
Livermore,270.37,23.34,3.7,18.45,155.93,6.68
Baltimore,233.65,14.17,3.07,6.08,91.55,12.0
Tempe,230.31,9.29,0.74,3.03,70.81,3.64
Concord,216.96,2.86,0.83,2.72,42.2,5.91
Rancho Cucamonga,317.1,54.77,11.92,46.61,303.27,12.34
North Charleston,205.28,4.58,1.73,2.54,35.05,2.44
Riverview,146.87,0.58,0.04,0.5,35.41,1.76
Lubbock,178.58,1.01,0.11,0.68,61.51,1.0
Renton,447.27,14.81,6.74,11.74,74.39,49.35
Grand Rapids,230.31,10.4,2.12,8.9,113.01,3.6
Orlando,260.35,4.03,3.31,2.96,43.99,13.88
Sacramento,554.09,48.12,3.55,43.41,211.72,4.76
Vancouver,260.35,9.72,3.31,7.12,87.98,10.45
South Jordan,213.62,10.49,1.03,3.64,98.71,9.08
Pasco,171.9,2.18,0.13,1.7,111.58,1.48
Bolingbrook,216.96,12.47,1.67,8.42,105.86,6.0
Oxnard,213.62,14.97,2.21,8.39,100.14,6.43
Gastonia,226.97,12.07,2.15,5.53,108.72,6.86
